Sales Person,Country,Product,Date,Amount,boxes_shipped
Jehu Rudeforth,UK,Mint Chip Choco,04-Jan-22,5320.0,180
Van Tuxwell,India,85% Dark Bars,01-Aug-22,7896.0,94
Gigi Bohling,India,Peanut Butter Cubes,07-Jul-22,4501.0,91
Jan Morforth,Australia,Peanut Butter Cubes,27-Apr-22,12726.0,342
Jehu Rudeforth,UK,Peanut Butter Cubes,24-Feb-22,13685.0,184
Van Tuxwell,India,Smooth Sliky Salty,06-Jun-22,5376.0,38
Oby Sorrel,UK,99% Dark & Pure,25-Jan-22,13685.0,176
Gunar Cockshoot,Australia,After Nines,24-Mar-22,3080.0,73
Jehu Rudeforth,New Zealand,50% Dark Bites,20-Apr-22,3990.0,59
Brien Boise,Australia,99% Dark & Pure,04-Jul-22,2835.0,102
Rafaelita Blaksland,UK,Smooth Sliky Salty,13-Jan-22,4704.0,62
Barr Faughny,USA,Orange Choco,10-Mar-22,3703.0,11
Mallorie Waber,Canada,Eclairs,13-Jan-22,1442.0,286
Karlen McCaffrey,New Zealand,Drinking Coco,28-Jul-22,168.0,156
Marney O'Breen,New Zealand,Peanut Butter Cubes,03-Aug-22,8379.0,173
Beverie Moffet,Australia,Organic Choco Syrup,26-Jan-22,6790.0,356
Van Tuxwell,Canada,Organic Choco Syrup,14-Feb-22,4067.0,42
Roddy Speechley,USA,Smooth Sliky Salty,05-Apr-22,3017.0,140
Beverie Moffet,Canada,Milk Bars,16-Feb-22,8799.0,250
Curtice Advani,UK,85% Dark Bars,08-Jun-22,1085.0,172
Brien Boise,Australia,Eclairs,27-Jun-22,6888.0,88
Gunar Cockshoot,USA,Spicy Special Slims,17-Feb-22,1267.0,157
Marney O'Breen,USA,After Nines,30-May-22,4753.0,163
Husein Augar,UK,Drinking Coco,14-Mar-22,3003.0,113
Kaine Padly,Australia,Eclairs,28-Feb-22,7672.0,115
Karlen McCaffrey,India,Fruit & Nut Bars,26-Jan-22,168.0,321
Roddy Speechley,Canada,Spicy Special Slims,09-Feb-22,1652.0,186
Husein Augar,USA,Eclairs,07-Jul-22,4025.0,112
Dennison Crosswaite,New Zealand,White Choc,05-Jul-22,9492.0,151
Dennison Crosswaite,New Zealand,Manuka Honey Choco,15-Jun-22,5061.0,301
Van Tuxwell,New Zealand,85% Dark Bars,24-May-22,1722.0,121
Rafaelita Blaksland,UK,99% Dark & Pure,29-Jun-22,12446.0,150
Wilone O'Kielt,Australia,Manuka Honey Choco,11-May-22,4284.0,94
Karlen McCaffrey,UK,Almond Choco,30-Jun-22,6839.0,133
Andria Kimpton,Canada,After Nines,11-May-22,2163.0,70
Roddy Speechley,USA,Manuka Honey Choco,22-Jul-22,9583.0,315
Andria Kimpton,UK,50% Dark Bites,24-Aug-22,2653.0,314
Kelci Walkden,New Zealand,After Nines,07-Jul-22,147.0,72
Camilla Castle,Australia,85% Dark Bars,19-May-22,3654.0,14
Karlen McCaffrey,India,Manuka Honey Choco,04-Jul-22,2443.0,581
Kelci Walkden,USA,After Nines,02-Jun-22,938.0,16
Karlen McCaffrey,USA,Raspberry Choco,15-Apr-22,14749.0,354
Mallorie Waber,Canada,Choco Coated Almonds,11-Jul-22,4781.0,241
Andria Kimpton,India,Spicy Special Slims,23-Feb-22,6307.0,142
Madelene Upcott,Canada,Almond Choco,22-Aug-22,7602.0,102
Kaine Padly,USA,Peanut Butter Cubes,16-Feb-22,6790.0,188
Van Tuxwell,USA,50% Dark Bites,13-Jan-22,9737.0,160
Curtice Advani,Australia,Milk Bars,14-Feb-22,6979.0,18
Roddy Speechley,India,Eclairs,10-Jun-22,4382.0,303
Curtice Advani,India,Fruit & Nut Bars,07-Jul-22,5243.0,176
Curtice Advani,Canada,Almond Choco,24-Mar-22,4865.0,70
Brien Boise,Australia,Fruit & Nut Bars,06-Jun-22,8575.0,23
Dotty Strutley,Australia,Drinking Coco,19-Jul-22,91.0,135
Beverie Moffet,USA,Raspberry Choco,19-Apr-22,14798.0,83
Marney O'Breen,India,85% Dark Bars,19-Jul-22,2205.0,179
Jehu Rudeforth,Canada,Drinking Coco,15-Jul-22,441.0,24
Ches Bonnell,New Zealand,Spicy Special Slims,14-Feb-22,3556.0,18
Brien Boise,Canada,99% Dark & Pure,18-May-22,16793.0,416
Barr Faughny,Australia,Fruit & Nut Bars,30-Jun-22,15421.0,55
Andria Kimpton,Australia,50% Dark Bites,02-Jun-22,4438.0,227
Andria Kimpton,Australia,Drinking Coco,28-Jun-22,1603.0,48
Marney O'Breen,Australia,Organic Choco Syrup,16-May-22,273.0,174
Kelci Walkden,Canada,Baker's Choco Chips,26-May-22,3073.0,302
Karlen McCaffrey,India,Almond Choco,06-Jul-22,6090.0,149
Oby Sorrel,India,99% Dark & Pure,27-May-22,10255.0,11
Wilone O'Kielt,Australia,Caramel Stuffed Bars,14-Apr-22,2030.0,11
Van Tuxwell,Australia,Organic Choco Syrup,10-Aug-22,19453.0,14
Camilla Castle,India,50% Dark Bites,04-Jul-22,9275.0,411
Oby Sorrel,India,Organic Choco Syrup,08-Jul-22,6181.0,56
Jan Morforth,USA,Peanut Butter Cubes,22-Jul-22,9037.0,102
Gigi Bohling,USA,Choco Coated Almonds,02-Mar-22,12313.0,103
Gigi Bohling,UK,Almond Choco,10-Jan-22,5642.0,9
Jehu Rudeforth,New Zealand,White Choc,11-Mar-22,2800.0,241
Andria Kimpton,New Zealand,Peanut Butter Cubes,20-Jun-22,959.0,265
Van Tuxwell,UK,Organic Choco Syrup,26-Aug-22,2002.0,214
Roddy Speechley,Canada,Milk Bars,13-Jul-22,609.0,32
Camilla Castle,USA,Spicy Special Slims,11-Feb-22,1274.0,244
Marney O'Breen,USA,Orange Choco,27-Jan-22,7595.0,181
Van Tuxwell,UK,99% Dark & Pure,31-Jan-22,4725.0,137
Camilla Castle,USA,White Choc,18-Aug-22,9681.0,24
Andria Kimpton,USA,Raspberry Choco,30-Jun-22,14504.0,21
Dotty Strutley,Australia,Fruit & Nut Bars,23-Aug-22,280.0,311
Brien Boise,New Zealand,Mint Chip Choco,01-Aug-22,63.0,181
Roddy Speechley,New Zealand,After Nines,25-May-22,8001.0,10
Roddy Speechley,Canada,Organic Choco Syrup,10-Jan-22,4032.0,82
Dennison Crosswaite,Australia,70% Dark Bites,07-Feb-22,5859.0,108
Karlen McCaffrey,USA,Orange Choco,12-May-22,11095.0,401
Madelene Upcott,Australia,Spicy Special Slims,07-Mar-22,7182.0,408
Dennison Crosswaite,Australia,85% Dark Bars,05-Apr-22,6881.0,420
Andria Kimpton,Canada,Caramel Stuffed Bars,03-Jan-22,7154.0,348
Dennison Crosswaite,UK,Eclairs,24-Mar-22,6188.0,270
Madelene Upcott,India,Raspberry Choco,07-Jul-22,4221.0,9
Van Tuxwell,USA,After Nines,26-Jul-22,630.0,264
Wilone O'Kielt,Australia,Organic Choco Syrup,07-Jul-22,1743.0,111
Karlen McCaffrey,Canada,50% Dark Bites,15-Jul-22,2919.0,65
Roddy Speechley,New Zealand,Orange Choco,01-Apr-22,49.0,97
Beverie Moffet,Australia,Eclairs,20-Jun-22,1827.0,6
Kelci Walkden,UK,Fruit & Nut Bars,29-Jun-22,13006.0,482
Marney O'Breen,USA,50% Dark Bites,15-Jun-22,1064.0,106
Husein Augar,USA,After Nines,08-Apr-22,11571.0,180
Dennison Crosswaite,Australia,Raspberry Choco,14-Mar-22,5740.0,31
Andria Kimpton,USA,Fruit & Nut Bars,15-Jul-22,1456.0,359
Kelci Walkden,India,Eclairs,19-Apr-22,5334.0,80
Marney O'Breen,USA,99% Dark & Pure,28-Mar-22,4151.0,296
Brien Boise,Canada,Spicy Special Slims,04-Mar-22,8106.0,101
Karlen McCaffrey,New Zealand,70% Dark Bites,02-Aug-22,126.0,40
Husein Augar,UK,Spicy Special Slims,25-Aug-22,4697.0,42
Marney O'Breen,USA,Almond Choco,25-Feb-22,7798.0,167
Kelci Walkden,India,Orange Choco,07-Jun-22,9408.0,138
Jan Morforth,India,Spicy Special Slims,12-Apr-22,1939.0,520
Ches Bonnell,India,Spicy Special Slims,06-Jul-22,10906.0,94
Kelci Walkden,UK,Smooth Sliky Salty,19-Jan-22,5929.0,175
Madelene Upcott,Australia,Fruit & Nut Bars,05-Jan-22,5579.0,92
Madelene Upcott,Canada,70% Dark Bites,24-Jan-22,10927.0,141
Wilone O'Kielt,Australia,Drinking Coco,06-Apr-22,623.0,283
Gunar Cockshoot,Australia,Fruit & Nut Bars,15-Jun-22,6013.0,21
Gigi Bohling,Canada,Baker's Choco Chips,28-Jan-22,1505.0,47
Kelci Walkden,India,Caramel Stuffed Bars,16-Mar-22,476.0,125
Rafaelita Blaksland,Australia,Drinking Coco,21-Feb-22,11550.0,396
Kelci Walkden,USA,Manuka Honey Choco,16-Feb-22,17318.0,87
Jehu Rudeforth,Canada,Spicy Special Slims,13-Jan-22,1848.0,27
Kelci Walkden,Australia,Eclairs,23-Mar-22,7273.0,547
Curtice Advani,Canada,Spicy Special Slims,16-Jun-22,854.0,118
Oby Sorrel,India,Raspberry Choco,14-Apr-22,6832.0,46
Kelci Walkden,UK,Eclairs,25-Jan-22,4606.0,57
Jan Morforth,India,Almond Choco,11-Mar-22,4466.0,22
Dotty Strutley,UK,Almond Choco,28-Jul-22,16114.0,96
Marney O'Breen,New Zealand,After Nines,09-Mar-22,1561.0,44
Husein Augar,Australia,Orange Choco,28-Jun-22,8897.0,188
Marney O'Breen,Australia,Milk Bars,28-Jul-22,2464.0,387
Kelci Walkden,Canada,99% Dark & Pure,15-Aug-22,4830.0,50
Kaine Padly,Australia,Manuka Honey Choco,12-Jan-22,2765.0,264
Beverie Moffet,New Zealand,White Choc,24-Mar-22,7126.0,7
Van Tuxwell,UK,Milk Bars,25-Jul-22,4263.0,90
Oby Sorrel,Canada,99% Dark & Pure,01-Aug-22,3605.0,403
Van Tuxwell,India,Organic Choco Syrup,16-May-22,19929.0,174
Roddy Speechley,India,Smooth Sliky Salty,10-Aug-22,5103.0,140
Jan Morforth,India,Eclairs,05-Jan-22,2541.0,27
Ches Bonnell,UK,Smooth Sliky Salty,11-Jul-22,5663.0,110
Wilone O'Kielt,USA,After Nines,25-Apr-22,392.0,30
Gigi Bohling,New Zealand,Fruit & Nut Bars,04-Apr-22,10976.0,121
Barr Faughny,USA,Raspberry Choco,12-Apr-22,9282.0,101
Wilone O'Kielt,New Zealand,85% Dark Bars,02-Aug-22,1827.0,117
Gigi Bohling,New Zealand,Manuka Honey Choco,28-Jun-22,8267.0,272
Ches Bonnell,Australia,Eclairs,05-Jul-22,4116.0,128
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,07-Jun-22,2093.0,45
Brien Boise,New Zealand,Smooth Sliky Salty,18-Jan-22,1015.0,27
Brien Boise,Australia,Baker's Choco Chips,04-Jan-22,12516.0,212
Dennison Crosswaite,Australia,99% Dark & Pure,31-Jan-22,2758.0,18
Kelci Walkden,India,Almond Choco,14-Mar-22,3297.0,149
Camilla Castle,Australia,70% Dark Bites,29-Apr-22,6048.0,477
Oby Sorrel,India,Smooth Sliky Salty,07-Feb-22,10101.0,108
Kaine Padly,UK,Organic Choco Syrup,31-Mar-22,2282.0,178
Marney O'Breen,India,Caramel Stuffed Bars,16-Mar-22,4361.0,81
Karlen McCaffrey,UK,Eclairs,25-Jan-22,7798.0,196
Van Tuxwell,India,Baker's Choco Chips,20-Jun-22,3052.0,447
Gigi Bohling,UK,After Nines,29-Mar-22,8029.0,175
Curtice Advani,Australia,Orange Choco,12-Jul-22,854.0,136
Jehu Rudeforth,Canada,Smooth Sliky Salty,11-Jul-22,5460.0,138
